INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
OTHER,elementary,,50000,0,0,0,0.5991487455,23.769892956,0.8387978142,0,0,3.065783367,18296
OTHER,advanced,Corporate,19976,0,0,,,23.063013699,3.1452054795,,,2.8246575342,18298
2NDFL,elementary,,44141,0,0,1,0.5052867384,23.559420615,0.6912568306,0,0,3.2991466427,18308
OTHER,advanced,Corporate,31308,0,1,0,16.823342294,23.871584699,1.8725653118,0,0,3.8579234973,18333
OTHER,elementary,Corporate,38575,0,1,0,,23.58630137,0.2900965641,0,1,3.4465753425,18357
2NDFL,elementary,,32383,0,0,0,22.052755376,24.964840183,0.5550041171,0,0,4.2681188712,18376
2NDFL,elementary,,20001,0,0,,,24.901369863,3.8794520548,,,4.5068493151,18406
OTHER,advanced,Corporate,37669,0,1,,,23.409836066,0.2437233326,,,0.9313945655,18414
2NDFL,elementary,,37177,0,0,1,0.9240143369,24.306370237,3.2931506849,0,0,3.6328767123,18425
OTHER,elementary,Corporate,63323,0,1,1,3.5719310036,24.398907104,3.6393442623,0,0,4.3743169399,18446
OTHER,elementary,Corporate,16981,0,1,0,,23.2,1.4821917808,0,0,3.1726027397,18452
OTHER,elementary,,50000,0,0,0,1.6678763441,24.8974025,4.4480874317,0,1,4.7932929111,18457
2NDFL,elementary,Corporate,62421,0,1,,,24.801549517,5.4219178082,,,4.4982708287,18464
2NDFL,elementary,,50623,0,0,,,24.443820645,2.4520547945,,,4.3616438356,18466
2NDFL,elementary,Corporate,47682,0,1,,,24.992806348,0.5228609926,,,4.9081068942,18473
OTHER,elementary,Corporate,50390,0,1,,,23.923497268,0.2240437158,,,3.6721311475,18512
OTHER,elementary,Corporate,33667,0,1,,,23.04756344,0.6393442623,,,2.7955086459,18527
OTHER,advanced,Corporate,33174,0,1,1,1.3366935484,24.385245902,0.7741073434,0,0,4.2786885246,18590
OTHER,elementary,Corporate,76111,0,1,0,0.4066980287,24.276712329,1.4358185493,1,1,4.2219178082,18596
OTHER,elementary,Corporate,76111,0,1,0,0.4066980287,24.276712329,1.4358185493,1,1,4.2219178082,18597
OTHER,elementary,Corporate,51524,0,1,0,1.0895385305,23.724043716,3.6775956284,0,0,1.1136686878,18643
2NDFL,advanced,,32066,0,0,0,,23.704918033,1.2449958829,0,0,3.6420765027,18661
OTHER,elementary,,33000,0,0,,,24.454412755,4.0465753425,,,4.4106969085,18673
2NDFL,elementary,,37410,0,0,,,23.095890411,0.760760536,,,3.0575342466,18694
OTHER,advanced,Corporate,35561,0,1,,,23.679452055,4.0630136986,,,3.597260274,18720
2NDFL,advanced,Corporate,20890,0,1,,,23.486338798,0.3779624223,,,2.4300172169,18730
OTHER,elementary,Corporate,97363,0,1,,,24.317733363,0.959809866,,,4.2109589041,18765
OTHER,elementary,Corporate,21458,0,1,,,23.657534247,1.0493150685,,,3.6383561644,18782
2NDFL,high,,35369,0,0,1,4.3483870968,23.00646755,1.3297552212,1,1,2.9845497417,18783
2NDFL,elementary,,29773,0,0,0,1.5720878136,24.243169399,1.9521970207,1,1,4.2322404372,18802
OTHER,elementary,Corporate,42821,0,1,0,0.5744623656,23.496242234,0.9811737405,0,0,2.8441874392,18818
2NDFL,elementary,Corporate,40841,0,0,,,24.164383562,0.3835616438,,,4.095890411,18819
OTHER,elementary,Corporate,53549,0,1,,,24.265753425,1.6657534247,,,4.1671232877,18822
2NDFL,elementary,,24999,0,0,,,24.807208623,1.7726027397,,,4.8017441425,18833
OTHER,elementary,Corporate,38117,0,1,0,12.219802867,23.009207276,2.6393442623,0,0,2.5461935774,18842
OTHER,high,Corporate,45321,0,1,1,0.7643145161,23.088831499,1.1381465679,0,0,2.9874616364,18855
2NDFL,elementary,,19595,0,0,1,1.3404793907,23.260273973,2.8109589041,2,2,3.2,18870
OTHER,elementary,Corporate,46715,0,1,,,23.460273973,0.8178007336,,,3.3589041096,18874
2NDFL,elementary,,131922,0,0,,,23.805988472,1.5594131297,,,3.7566734037,18895
OTHER,advanced,Corporate,30993,0,1,,,23.477386032,1.1623175387,,,3.389714799,18906
OTHER,elementary,,28000,0,0,0,5.5678763441,24.404371585,0.2240437158,1,1,4.2950819672,18926
OTHER,elementary,Corporate,37309,0,1,,,23.232240437,3.6830601093,,,0.6132045812,18949
OTHER,high,Corporate,69000,0,1,,,24.448087432,1.9565162063,,,3.3044614118,18951
OTHER,advanced,Corporate,36459,0,1,0,1.0907930108,23.164413504,0.6338797814,0,0,1.5890710383,18993
OTHER,elementary,,33500,0,0,1,1.2487903226,24.79930384,0.4540983607,0,0,4.7636874018,19003
OTHER,elementary,Corporate,34045,0,1,,,23.238356164,0.8794520548,,,3.1589041096,19015
2NDFL,advanced,,18198,0,0,0,,24.67273748,2.9549292612,1,1,3.4754098361,19029
OTHER,elementary,,110000,0,0,2,0.3758736559,24.522591511,1.3390298675,1,1,4.4431394565,19037
OTHER,elementary,,110000,0,0,2,0.3758736559,24.522591511,1.3390298675,1,1,4.4431394565,19038
OTHER,elementary,Corporate,50202,0,1,0,0.4418458781,23.475409836,0.1693989071,0,0,3.4234972678,19039
OTHER,elementary,Corporate,79619,0,1,0,0.7600582437,23.896174863,1.2008309005,0,0,3.8306010929,19047
2NDFL,advanced,,32513,0,0,0,,23.923497268,3.7158469945,1,1,3.8852459016,19065
2NDFL,advanced,,43500,0,0,0,,24.081967213,0.7748184744,1,3,3.3469945355,19068
OTHER,elementary,Corporate,79364,0,1,,,24.976412905,2.6191780822,,,4.8862489707,19076
2NDFL,advanced,Corporate,13820,0,1,,,23.923497268,0.3149562093,,,2.8930384011,19083
OTHER,elementary,Corporate,26066,0,1,,,23.62739726,1.2249045587,,,1.7616438356,19124
OTHER,high,,18000,0,0,,,23.454794521,0.9438281308,,,3.3808219178,19168
OTHER,elementary,,21080,0,0,0,,23.663934426,2.1306385208,0,0,3.587431694,19194
OTHER,high,Corporate,27607,0,1,1,0.8240143369,24.256830601,1.3571524815,0,0,4.2295081967,19195
OTHER,high,Corporate,27607,0,1,1,0.8240143369,24.256830601,1.3571524815,0,0,4.2295081967,19196
OTHER,advanced,Corporate,30761,0,1,0,1.7033378136,24.919320308,3.0891833221,0,0,4.3333333333,19197
2NDFL,elementary,,,0,1,0,1.1479614695,24.522217232,1.701369863,0,0,4.4976270679,19280
OTHER,elementary,Corporate,40000,0,1,0,,23.022591511,0.6693989071,0,0,2.8362901415,19330
OTHER,advanced,Corporate,34016,0,1,0,18.605040323,24.079452055,2.3780821918,1,1,4.0602739726,19337
2NDFL,elementary,,34800,0,0,0,0.6651209677,24.50273224,1.9212216483,0,0,4.4781420765,19338
OTHER,elementary,Corporate,16126,0,1,,,24.435616438,3.5753424658,,,3.8794520548,19347
OTHER,high,Corporate,35164,0,1,0,0.4350582437,23.244666517,3.250145969,1,1,3.1816528183,19348
OTHER,elementary,,35000,0,0,,,24.34235347,3.6557377049,,,4.1587918257,19353
OTHER,elementary,Corporate,35352,0,1,0,15.282526882,23.371584699,0.7670110038,0,0,3.1967213115,19360
OTHER,elementary,,100000,0,0,,,24.602395389,0.8947451157,,,4.5504828206,19376
2NDFL,advanced,,20181,0,0,0,8.2790770609,24.445841755,5.6821917808,0,0,4.4130548694,19437
OTHER,beginner,Corporate,40772,0,1,1,0.60625,23.57260274,2.0438356164,0,0,3.4931506849,19454
OTHER,elementary,Corporate,30000,0,1,,,24.782289093,1.1757317164,,,0.347862864,19479
OTHER,high,Corporate,22916,0,1,1,0.6344982079,24.153005464,3.0676323078,0,0,0.6347555955,19483
OTHER,high,Corporate,85500,0,1,0,0.3777553763,24.953911221,4.4457144996,0,0,4.8391571225,19486
OTHER,high,Corporate,85500,0,1,0,0.3777553763,24.953911221,4.4457144996,0,0,4.8391571225,19487
OTHER,high,Corporate,85500,0,1,0,0.3777553763,24.953911221,4.4457144996,0,0,4.8391571225,19488
OTHER,elementary,Corporate,16760,0,1,0,,23.117808219,2.4657534247,0,0,3.098630137,19498
OTHER,high,Corporate,41067,0,1,,,23.063013699,4.9299648177,,,2.9945205479,19504
OTHER,high,Corporate,34681,0,1,,,23.961748634,1.3339471517,,,3.9316939891,19520
OTHER,elementary,,27000,0,0,1,3.9502016129,24.631634104,1.6246575342,0,0,4.3720712628,19546
OTHER,elementary,Corporate,22067,0,1,0,1.8579749104,23.378082192,0.4947451157,0,0,3.2109589041,19574
OTHER,high,Corporate,14229,0,1,0,10.303629032,23.898907104,0.2896174863,0,0,3.325136612,19575
OTHER,elementary,Corporate,80700,0,1,,,23.293150685,0.73310128,,,3.0356164384,19577
2NDFL,elementary,,46235,0,0,,,23.002739726,0.6409836066,,,0.2164383562,19602
2NDFL,advanced,Corporate,16639,0,1,0,,24.098517853,1.1505726477,0,0,2.6163260723,19614
2NDFL,elementary,,54821,0,0,0,29.379592294,24.008196721,1.3217082117,0,0,3.7322404372,19650
2NDFL,elementary,,,0,0,,,24.191256831,0.5027322404,,,3.1102627442,19664
OTHER,elementary,Corporate,80946,0,1,0,0.6340725806,24.413054869,0.6780821918,1,1,3.8876712329,19677
OTHER,elementary,,70000,0,0,1,0.3770385305,24.926588817,1.298630137,0,0,4.5468073958,19679
OTHER,elementary,,29266,0,0,,,24.909589041,2.7643835616,,,4.8493150685,19700
OTHER,elementary,Corporate,47851,0,1,0,4.2114247312,24.18579235,0.3306010929,0,0,2.2498240886,19785
2NDFL,elementary,,35849,0,0,2,0.2427867384,24.653798937,4.7084437458,0,0,4.5527060409,19788
2NDFL,elementary,,35849,0,0,2,0.2427867384,24.653798937,4.7084437458,0,0,4.5527060409,19789
OTHER,elementary,Corporate,30000,0,1,,,24.073972603,1.6849315068,,,4.0383561644,19825
OTHER,beginner,Corporate,56411,0,1,,,23.597260274,0.3884572199,,,3.4821917808,19830
OTHER,advanced,Corporate,26000,0,1,1,0.7922043011,24.257189909,1.8575342466,0,0,4.1724904559,19842
OTHER,advanced,Corporate,31832,0,1,,,24.543715847,0.3278688525,,,3.7896174863,19847
2NDFL,elementary,,,0,1,,,22.794520548,0.2955685306,,,2.7643835616,19851
2NDFL,elementary,,40607,0,0,1,1.8262096774,23.923497268,2.6059884722,0,1,3.8524590164,19865
2NDFL,advanced,,18452,0,0,0,1.9269041219,23.108353919,3.7841530055,0,0,2.5302717269,19877
2NDFL,advanced,Corporate,24877,0,1,,,23.95890411,4.4844748858,,,3.8575342466,19882
OTHER,elementary,Corporate,33725,0,1,,,23.824657534,1.1757317164,,,3.7835616438,19933
2NDFL,elementary,,15175,0,0,,,23.991803279,0.5874541508,,,3.9781420765,19944
OTHER,elementary,Corporate,27000,0,0,0,,24.868852459,0.4098360656,,,4.6721311475,19956
OTHER,elementary,Corporate,37020,0,1,1,0.3416666667,24.377408489,2.4657534247,0,0,4.3664795269,19966
OTHER,elementary,Corporate,37020,0,1,1,0.3416666667,24.377408489,2.4657534247,0,0,4.3664795269,19967
2NDFL,elementary,,97948,0,0,3,0.6341397849,24.966000449,1.898630137,1,1,4.4876712329,19983
2NDFL,elementary,,97948,0,0,3,0.6341397849,24.966000449,1.898630137,1,1,4.4876712329,19984
2NDFL,elementary,,97948,0,0,3,0.6341397849,24.966000449,1.898630137,1,1,4.4876712329,19985
2NDFL,elementary,,97948,0,0,3,0.6341397849,24.966000449,1.898630137,1,1,4.4876712329,19986
OTHER,elementary,,40000,0,0,0,,24.016438356,0.3446216034,2,2,3.6383561644,20003
2NDFL,elementary,Corporate,37998,0,1,,,24.9457145,1.7292761434,,,4.9237966914,20021
OTHER,elementary,Corporate,59164,0,1,0,1.3737007168,23.478142077,0.5067370312,0,0,3.1366120219,20029
2NDFL,elementary,,15509,0,0,,,23.265783367,1.4082491204,,,3.2055093944,20031
OTHER,advanced,Corporate,19124,0,1,0,,24.644823714,0.8530428924,0,0,0.131147541,20062
OTHER,elementary,Corporate,39919,0,1,0,0.5005600358,24.374945729,1.802739726,0,0,4.2711205929,20098
2NDFL,elementary,,,0,1,2,0.5013216846,24.808743169,1.7370087581,0,0,4.7896174863,20116
2NDFL,elementary,,,0,1,2,0.5013216846,24.808743169,1.7370087581,0,0,4.7896174863,20117
OTHER,advanced,,30000,0,0,1,0.3670922939,24.869481249,1.3150684932,0,0,4.6181151284,20124
OTHER,elementary,,27736,0,0,,,24.161643836,0.4185118647,,,2.9150684932,20137
OTHER,elementary,,20010,0,0,,,23.713114754,1.0676323078,,,3.6092896175,20146
OTHER,advanced,Corporate,21740,0,1,1,0.2788082437,24.657017741,1.3556478778,0,0,4.2460588367,20199
OTHER,elementary,,35000,0,0,0,1354.4683916,23.11541283,5.0414402276,0,0,3.0387005015,20217
OTHER,advanced,Corporate,27315,0,1,,,23.498630137,1.1427052923,,,3.4410958904,20222
2NDFL,high,,,0,1,0,0.8580421147,21.043528707,1.0270903511,0,0,0.9805150086,20238
OTHER,elementary,Corporate,37003,0,0,1,0.413172043,23.64109589,1.6220076353,1,1,3.5260273973,20241
OTHER,elementary,Corporate,19634,0,1,,,23.232876712,0.5691743394,,,3.0904109589,20261
OTHER,elementary,Corporate,37196,0,1,,,23.022905906,0.9735908376,,,2.9790702897,20295
OTHER,elementary,Corporate,34989,0,1,0,1.1553091398,24.753312374,0.4190657983,0,0,3.4890710383,20296
OTHER,advanced,Corporate,13495,0,1,,,24.943723333,0.3671232877,,,4.8207725129,20325
2NDFL,high,,,0,1,,,21.370372034,0.2896174863,,,1.2772213489,20326
2NDFL,elementary,,49159,0,0,,,24.635077476,0.6979190059,,,4.4602140879,20335
OTHER,elementary,Corporate,39510,0,1,,,23.260273973,4.7162063029,,,3.0054794521,20343
OTHER,high,Corporate,17992,0,1,1,1.0501344086,24.521857923,5.0169473763,1,1,2.1484542256,20363
2NDFL,elementary,,46642,0,0,1,1.1182571685,23.630136986,0.8237068643,1,1,3.5753424658,20365
OTHER,elementary,Corporate,13684,0,1,,,24.626536417,0.7635227188,,,4.4100980612,20387
OTHER,high,Corporate,18950,0,1,,,23.934246575,2.8082191781,,,1.3863013699,20449
OTHER,elementary,Corporate,39162,0,1,,,23.12568306,0.4409836066,,,2.9670110038,20466
2NDFL,advanced,Corporate,24924,0,0,,,23.598360656,1.513481548,,,3.5299199042,20478
2NDFL,elementary,,41123,0,0,,,24.450819672,2.1160491055,,,4.3524590164,20486
2NDFL,beginner,,41227,0,0,1,0.7362007168,23.868852459,0.8161389326,0,0,3.8224043716,20512
OTHER,beginner,,,0,1,0,0.7894713262,24.270491803,1.198757392,0,0,4.2513661202,20545
OTHER,advanced,Corporate,42042,0,1,,,23.334246575,1.5095890411,,,3.2493150685,20549
2NDFL,high,,,0,1,,,21.020338349,1.6422561569,,,0.8806123213,20551
2NDFL,advanced,,26395,1,0,,,23.549097986,3.1984130549,,,2.8970431919,20591
OTHER,advanced,Corporate,37905,0,1,,,24.049315068,0.2520547945,,,3.9479452055,20602
OTHER,elementary,,50000,0,0,,,24.749097986,0.4672131148,,,1.1463582603,20610
OTHER,elementary,,57000,0,1,,,23.657534247,1.5931431993,,,3.5835616438,20622
OTHER,elementary,,23015,0,0,0,7.1849462366,24.718579235,2.4198517853,0,0,4.6147540984,20635
OTHER,elementary,Corporate,83820,0,1,1,0.5309811828,24.54147017,0.2190657983,0,0,4.4622351972,20636
OTHER,elementary,Corporate,83820,0,1,1,0.5309811828,24.54147017,0.2190657983,0,0,4.4622351972,20637
2NDFL,elementary,,30457,0,0,1,3.6357302867,24.675222696,3.6356164384,0,0,4.5850587619,20639
2NDFL,elementary,,48000,0,0,,,23.871255333,1.4931731417,,,3.7397484842,20679
2NDFL,elementary,Corporate,70045,0,1,,,24.640983607,0.4601616887,,,4.5560520997,20695
OTHER,elementary,Corporate,44566,0,1,1,1.7608422939,24.046575342,2.0438356164,0,1,3.9917808219,20696
OTHER,high,Corporate,27472,0,1,0,0.6954077061,23.078029793,2.0369339022,0,0,3.01775582,20715
OTHER,high,Corporate,27143,0,1,,,24.368852459,0.7711804776,,,3.4615914365,20728
2NDFL,elementary,,37856,0,0,,,24.336986301,1.5315068493,,,4.304109589,20736
OTHER,advanced,Corporate,48517,0,1,,,23.912328767,0.5337974399,,,3.8520547945,20755
OTHER,elementary,Corporate,49468,0,1,,,23.989041096,1.1454375327,,,3.9616438356,20770
OTHER,elementary,,30000,0,0,0,,23.868852459,1.2698106146,0,0,3.6885245902,20792
2NDFL,elementary,,61000,0,0,2,0.727374552,24.554929261,1.037121042,0,1,4.349726776,20828
OTHER,elementary,,50000,0,0,,,24.773710607,1.1316341043,,,4.6808144322,20832
OTHER,advanced,Corporate,34593,0,1,,,23.031125084,2.4777004267,,,2.9461935774,20839
OTHER,elementary,Corporate,95469,0,1,,,24.907193652,3.2606183098,,,4.4480874317,20849
2NDFL,elementary,,42290,0,0,0,,23.351837712,1.913481548,1,1,3.310741822,20854
OTHER,high,Corporate,13438,0,1,,,23.610958904,1.0284227861,,,3.5643835616,20875
2NDFL,elementary,,45786,0,0,,,23.712837787,0.4289617486,,,2.688180253,20876
OTHER,elementary,,25000,0,0,0,,24.636612022,0.7295980238,1,1,4.5546448087,20949
OTHER,elementary,Corporate,30450,0,1,,,24.804955461,4.2761883375,,,0.2597499813,20963
OTHER,elementary,Corporate,26729,0,1,,,24.372295831,2.8654465155,,,4.3531177483,20983
2NDFL,elementary,,,0,1,,,24.907313422,4.6586795419,,,4.8444718916,21010
OTHER,elementary,Corporate,39827,0,1,1,5.2185259857,24.117486339,1.0585223445,0,1,4.0846994536,21049
2NDFL,beginner,,,0,1,,,24.139726027,2.9205479452,,,2.1315068493,21112
2NDFL,elementary,,,0,1,,,24.240923722,4.3748035033,,,4.2327270005,21132
2NDFL,elementary,,41760,0,0,,,23.345549817,1.5756868029,,,1.2332210495,21148
OTHER,high,Corporate,46504,0,1,0,14.408938172,24.677700427,1.5270154952,0,0,4.4808743169,21149
OTHER,elementary,,70000,0,0,,,24.542083988,0.1561643836,,,4.5065648626,21168
OTHER,elementary,Corporate,41904,0,1,1,0.444422043,23.669398907,0.8213938169,0,0,3.631147541,21185
2NDFL,elementary,,51689,0,0,0,3.1857078853,24.945093196,0.4546822367,0,0,0.087558949,21190
2NDFL,elementary,,51689,0,0,0,3.1857078853,24.945093196,0.4546822367,0,0,0.087558949,21191
2NDFL,high,,21174,0,0,2,1,23.819672131,4.2049180328,0,0,3.6583576615,21207
OTHER,elementary,Corporate,31230,0,1,,,23.420338349,0.9929410884,,,3.3737630062,21216
OTHER,elementary,Corporate,50472,0,1,,,23.554644809,1.3668238641,,,3.5191256831,21219
2NDFL,elementary,,70156,0,0,,,23.228901864,1.8973950146,,,2.8754772064,21228
OTHER,high,Corporate,18912,0,1,0,,24.601092896,4.174863388,0,0,4.5191256831,21236
OTHER,elementary,,100000,0,0,0,11.667921147,24.196953365,1.6599670634,3,3,4.0081967213,21239
OTHER,beginner,Corporate,28845,0,1,,,23.154577438,1.4559473014,,,3.0586870275,21251
OTHER,elementary,,27000,0,0,,,24.550684932,1.3868852459,,,4.4684931507,21252
2NDFL,elementary,,22433,0,0,0,,23.050999326,0.6373006962,0,0,0.6646979564,21262
OTHER,elementary,Corporate,36883,0,1,0,2.4344758065,24.550490306,0.6461187215,1,1,4.4219178082,21263
2NDFL,elementary,,,0,1,1,0.8655689964,23.784153005,2.2424133543,0,0,3.6584699454,21266
2NDFL,elementary,,,0,1,1,0.8655689964,23.784153005,2.2424133543,0,0,3.6584699454,21267
2NDFL,advanced,,13752,0,0,0,11.572491039,24.15586496,0.6024403024,1,3,3.4863387978,21290
OTHER,advanced,Corporate,24480,0,1,0,0.5381048387,24.68643611,0.8699977543,0,0,3.333011453,21294
2NDFL,elementary,,94482,0,0,,,23.493150685,0.8070214836,,,3.101369863,21326
OTHER,high,Corporate,29689,0,1,1,0.2853494624,24.02739726,1.6136986301,0,0,3.7369863014,21333
2NDFL,elementary,,,0,1,2,1.0871415771,23.650273224,2.3879856277,0,1,3.5163934426,21380
2NDFL,elementary,,,0,1,2,1.0871415771,23.650273224,2.3879856277,0,1,3.5163934426,21381
2NDFL,elementary,,,0,1,2,1.0871415771,23.650273224,2.3879856277,0,1,3.5163934426,21382
OTHER,elementary,Corporate,39992,0,1,0,0.3413978495,23.53506999,0.8665768396,0,0,3.3323302642,21456
OTHER,elementary,Corporate,56379,0,1,1,1.1168234767,24.215846995,1.4059884722,0,0,4.1366120219,21465
OTHER,elementary,Corporate,44373,0,1,0,5.2743951613,23.209903436,1.7633280934,0,0,3.1934650797,21473
2NDFL,elementary,,,0,1,4,0.6370967742,23.059577813,3.7213114754,0,0,3.0486189086,21483
2NDFL,elementary,,,0,1,4,0.6370967742,23.059577813,3.7213114754,0,0,3.0486189086,21484
2NDFL,elementary,,,0,1,4,0.6370967742,23.059577813,3.7213114754,0,0,3.0486189086,21485
2NDFL,elementary,,,0,1,4,0.6370967742,23.059577813,3.7213114754,0,0,3.0486189086,21486
2NDFL,elementary,,,0,1,4,0.6370967742,23.059577813,3.7213114754,0,0,3.0486189086,21487
2NDFL,elementary,,,0,1,4,0.6370967742,23.059577813,3.7213114754,0,0,3.0486189086,21488
OTHER,elementary,Corporate,34646,0,1,0,,24.087431694,1.4535519126,0,0,3.9754098361,21497
2NDFL,advanced,,27244,0,0,0,,23.956164384,0.7679691594,0,0,3.8630136986,21508
2NDFL,elementary,,21676,0,0,,,24.22739726,5.9726027397,,,4.1506849315,21512
2NDFL,elementary,,47515,0,0,0,0.7331317204,24.524590164,1.0304813235,0,0,4.3907103825,21519
OTHER,high,,35000,0,0,0,,23.975409836,0.4234972678,3,5,3.8715846995,21520
OTHER,elementary,Corporate,34010,0,1,,,24.423497268,2.0670708885,,,0.8725503406,21529
OTHER,high,,40000,0,0,0,0.9859094982,24.792978516,2.901369863,0,0,4.6754921776,21550
OTHER,elementary,Corporate,33892,0,1,,,23.568306011,0.9383037653,,,0.3278688525,21577
2NDFL,elementary,,54672,0,0,0,,24.109589041,4.8013399207,0,0,4,21595
OTHER,elementary,,70000,0,0,0,0.5109991039,24.358552287,0.4050003743,1,1,4.2683883524,21604
2NDFL,high,,41565,0,0,,,23.430136986,3.6082191781,,,3.3863013699,21612
OTHER,elementary,Corporate,14711,0,1,,,23.821917808,0.471045737,,,3.6383561644,21630
OTHER,advanced,Corporate,25500,0,1,,,24.216438356,3.602739726,,,3.9287671233,21637
OTHER,elementary,,22064,0,1,0,,23.191077176,3.9262295082,0,0,3.1855977244,21653
2NDFL,advanced,,20143,0,0,,,23.773224044,0.9057938468,,,3.6912568306,21723
OTHER,elementary,Corporate,28120,0,1,1,1.9583333333,24.202185792,4.8535593982,0,0,3.956284153,21734
OTHER,elementary,Corporate,42421,0,1,0,0.4053763441,24.032786885,1.8533722584,0,0,3.956284153,21747
2NDFL,elementary,,,0,1,1,0.2844310036,23.564892582,1.5018788831,0,0,3.5484542256,21756
2NDFL,elementary,,,0,1,1,0.2844310036,23.564892582,1.5018788831,0,0,3.5484542256,21757
OTHER,elementary,,35400,0,0,,,24.345205479,1.4410958904,,,2.701369863,21758
2NDFL,beginner,,39398,0,0,2,1.1512320789,24.812276368,1.2259749981,0,0,4.8040571899,21766
OTHER,advanced,Corporate,25703,0,0,1,-0.914269713,24.276712329,2.4630136986,1,1,4.2301369863,21769
OTHER,elementary,Corporate,52199,0,1,0,15.406160394,24.680949173,0.393442623,0,0,3.806010929,21773
OTHER,elementary,Corporate,38161,0,1,0,1.3168682796,23.531506849,1.3397260274,0,0,3.0849315068,21784
OTHER,elementary,Corporate,61106,0,1,,,24.645437533,1.2301369863,,,4.5634703196,21807
OTHER,elementary,Corporate,29620,0,1,,,23.663934426,0.5165656112,,,3.4672131148,21816
OTHER,elementary,Corporate,47910,0,1,,,23.901369863,1.7479452055,,,3.8054794521,21824
2NDFL,elementary,,,0,1,1,0.2806003584,24.095890411,1.8739726027,0,0,1.2603563141,21826
2NDFL,elementary,,,0,1,1,0.2806003584,24.095890411,1.8739726027,0,0,1.2603563141,21827
OTHER,elementary,,50000,0,0,,,23.854794521,4.8808818025,,,3.7287671233,21834
OTHER,elementary,Corporate,9639,0,1,0,14.982168459,23.918032787,0.2650273224,0,0,3.8442622951,21841
2NDFL,beginner,,27507,0,0,0,8.9571684588,24.72568306,0.9524590164,0,0,4.3150684932,21844
OTHER,elementary,Corporate,42303,0,1,0,0.5396729391,24.49726776,5.0309678868,0,0,4.4289617486,21851
OTHER,elementary,Corporate,38646,0,1,1,0.5068324373,24.431693989,0.5193128228,0,0,4.2513661202,21854
2NDFL,high,,55122,0,0,,,23.942465753,2.0821917808,,,3.9342465753,21858
OTHER,elementary,Corporate,26100,0,1,0,,24.035519126,0.3770491803,5,5,3.8414402276,21879
2NDFL,elementary,,19477,0,0,0,0.5069444444,23.975342466,0.5178082192,1,1,3.9315068493,21938
OTHER,elementary,Corporate,61736,0,1,1,4.0570116487,23.802739726,0.8666067819,0,0,3.7260273973,21945
OTHER,elementary,Corporate,27607,0,1,,,23.457534247,2.0684931507,,,3.3917808219,21946
OTHER,high,Corporate,74426,0,1,,,24.306849315,4.5260273973,,,4.2684931507,21952
2NDFL,elementary,,25792,0,0,1,0.5699596774,24.366120219,5.4931806273,1,1,4.2158469945,21968
2NDFL,elementary,,18270,0,0,,,24.650482821,0.9947451157,,,4.4401003069,22000
OTHER,elementary,Corporate,35036,0,1,,,23.275656861,0.262295082,,,3.218122614,22004
OTHER,elementary,Corporate,36661,0,1,2,0.6712589606,24.907897298,5.3753424658,0,0,4.809536642,22012
OTHER,elementary,Corporate,36661,0,1,2,0.6712589606,24.907897298,5.3753424658,0,0,4.809536642,22013
OTHER,elementary,Corporate,44292,0,1,1,0.9527329749,24.030054645,1.2282206752,0,0,3.0912343738,22016
OTHER,elementary,,20000,0,0,,,24.790306161,0.8859345759,,,1.6602739726,22041
OTHER,elementary,,40000,0,0,0,,24.741769594,0.3390298675,1,1,4.7280709634,22047
OTHER,elementary,Corporate,18000,0,0,0,1.3413978495,23.619178082,0.7301369863,1,1,3.5369863014,22051
OTHER,high,,45000,0,0,,,24.86448836,0.6486413654,,,4.6704992889,22061
OTHER,elementary,Corporate,27094,0,1,0,,23.407103825,0.4076951868,0,0,3.035092447,22063
OTHER,elementary,Corporate,29374,0,1,1,0.248297491,24.645602216,4.7084437458,0,0,4.5445093196,22074
OTHER,elementary,Corporate,26559,0,1,,,23.494535519,0.5145445018,,,3.4071038251,22075
OTHER,high,Corporate,25123,0,1,1,0.9592517921,24.336866532,1.2875514634,0,0,4.1807021484,22107
OTHER,elementary,,60000,0,0,,,23.353424658,0.1452054795,,,2.9506849315,22116
2NDFL,elementary,,44973,0,0,,,24.62631185,2.1095890411,,,4.5443446366,22124
OTHER,advanced,Corporate,29788,0,0,1,-0.200873656,23.438356164,0.1863013699,1,1,2.1808219178,22132
OTHER,elementary,Corporate,61828,0,1,1,0.5061603943,24.769279138,4.6408638371,1,1,2.1589041096,22148
OTHER,elementary,Corporate,61828,0,1,1,0.5061603943,24.769279138,4.6408638371,1,1,2.1589041096,22149
OTHER,elementary,Corporate,61828,0,1,1,0.5061603943,24.769279138,4.6408638371,1,1,2.1589041096,22150
OTHER,advanced,Corporate,30272,0,1,1,0.9591621864,24.114754098,0.5355191257,0,0,4.043715847,22181
2NDFL,elementary,,31913,0,0,,,23.93715847,1.183905981,,,3.8989071038,22219
OTHER,elementary,Corporate,28088,0,1,,,23.019178082,1.1041919305,,,2.9671232877,22244
OTHER,elementary,Corporate,33742,0,1,1,0.7909946237,24.144808743,4.6830601093,1,1,4.1229508197,22277
